Customer Name,Account,VIN,Term,Garaging State,Vehicle Yr,Make,Model,Desc,Contract Date,Maturity Date                                                                                                                                                                                                                                                                                                                           
Placeholder20,9000000019,XXXXXXXXXXXXXXXXX,39,WI,2019,GENESIS,G70,2019 Genesis G70 4dr Sdn 3.3t,25-Feb-20,25-FEB-23                                                                                                                                                                                                                                                                                                        
Placeholder21,9000000020,XXXXXXXXXXXXXXXXX,39,OH,2020,KIA,SPORTAGE,2020 Kia Sportage 4dr Wgn S,26-Feb-20,26-MAY-23                                                                                                                                                                                                                                                                                                           
Placeholder22,9000000021,XXXXXXXXXXXXXXXXX,39,NY,2020,HYUNDAI,ELANTRA,2020 Hyundai Elantra 4dr Sdn Se,28-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                                       
Placeholder23,9000000022,XXXXXXXXXXXXXXXXX,39,CT,2020,HYUNDAI,PALISADE,2020 Hyundai Palisade 4dr Wgn Sel,28-Feb-20,28-APR-23                                                                                                                                                                                                                                                                                                 
Placeholder24,9000000023,XXXXXXXXXXXXXXXXX,39,NY,2020,KIA,SPORTAGE,2020 Kia Sportage 4dr Wgn Lx,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                      
Placeholder25,9000000024,XXXXXXXXXXXXXXXXX,39,NJ,2020,KIA,SORENTO,2020 Kia Sorento 4dr Wgn Ex V6,1-Mar-20,01-JUN-23                                                                                                                                                                                                                                                                                                         
Placeholder26,9000000025,XXXXXXXXXXXXXXXXX,39,NY,2020,KIA,SPORTAGE,2020 Kia Sportage 4dr Wgn Lx,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                        
Placeholder27,9000000026,XXXXXXXXXXXXXXXXX,39,AZ,2020,HYUNDAI,ELANTRA,2020 Hyundai Elantra 4dr Sdn Value,27-Feb-20,27-FEB-23                                                                                                                                                                                                                                                                                               
Placeholder28,9000000027,XXXXXXXXXXXXXXXXX,39,NY,2021,KIA,SELTOS,2021 Kia Seltos 4dr Wgn S 1.6t,1-Mar-20,01-JUN-23                                                                                                                                                                                                                                                                                                     
Placeholder29,9000000028,XXXXXXXXXXXXXXXXX,39,VA,2020,HYUNDAI,SONATA,2020 Hyundai Sonata 4dr Sdn Sel,28-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                                     
Placeholder30,9000000029,XXXXXXXXXXXXXXXXX,39,NY,2020,HYUNDAI,SANTA FE,2020 Hyundai Santa_Fe 4dr Wgn Se,28-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                                
Placeholder31,9000000030,XXXXXXXXXXXXXXXXX,39,PA,2020,KIA,STINGER,2020 Kia Stinger 4dr Sdn Gt1 Awd,21-Feb-20,21-JUL-23                                                                                                                                                                                                                                                                                                    
Placeholder32,9000000031,XXXXXXXXXXXXXXXXX,39,PA,2020,HYUNDAI,SONATA,2020 Hyundai Sonata 4dr Sdn Se,1-Mar-20,01-MAR-23                                                                                                                                                                                                                                                                                                       
Placeholder33,9000000032,XXXXXXXXXXXXXXXXX,39,NY,2020,KIA,SPORTAGE,2020 Kia Sportage 4dr Wgn Lx,25-Feb-20,25-MAY-23                                                                                                                                                                                                                                                                                                        
Placeholder34,9000000033,XXXXXXXXXXXXXXXXX,39,NY,2020,KIA,SORENTO,2020 Kia Sorento 4dr Wgn Lx Gdi,24-Feb-20,24-MAY-23                                                                                                                                                                                                                                                                                                    
Placeholder35,9000000034,XXXXXXXXXXXXXXXXX,39,IL,2020,HYUNDAI,TUCSON,2020 Hyundai Tucson 4dr Wgn Value,28-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                               
Placeholder36,9000000035,XXXXXXXXXXXXXXXXX,39,PA,2020,KIA,SPORTAGE,2020 Kia Sportage 4dr Wgn Lx,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                            
Placeholder37,9000000036,XXXXXXXXXXXXXXXXX,39,MO,2020,KIA,SORENTO,2020 Kia Sorento 4dr Wgn Ex V6,26-Feb-20,26-MAY-23                                                                                                                                                                                                                                                                                                      
Placeholder38,9000000037,XXXXXXXXXXXXXXXXX,39,IL,2020,KIA,SPORTAGE,2020 Kia Sportage 4dr Wgn Lx,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                     
Placeholder39,9000000038,XXXXXXXXXXXXXXXXX,39,WI,2020,HYUNDAI,ELANTRA,2020 Hyundai Elantra 4dr Sdn Value,29-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                               
Placeholder40,9000000039,XXXXXXXXXXXXXXXXX,39,FL,2020,KIA,SOUL,2020 Kia Soul 4dr Wgn Lx At,22-Feb-20,22-MAY-23                                                                                                                                                                                                                                                                                                  
Placeholder41,9000000040,XXXXXXXXXXXXXXXXX,39,CA,2020,HYUNDAI,TUCSON,2020 Hyundai Tucson 4dr Wgn Se,29-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                               
Placeholder42,9000000041,XXXXXXXXXXXXXXXXX,39,WV,2020,KIA,TELLURIDE,2020 Kia Telluride 4dr Wgn Sx,7-Feb-20,07-FEB-23                                                                                                                                                                                                                                                                                                       
Placeholder43,9000000042,XXXXXXXXXXXXXXXXX,39,NJ,2020,HYUNDAI,SANTA FE,2020 Hyundai Santa_Fe 4dr Wgn Sel,27-Feb-20,27-FEB-23                                                                                                                                                                                                                                                                                             
Placeholder44,9000000043,XXXXXXXXXXXXXXXXX,39,NJ,2020,KIA,SPORTAGE,2020 Kia Sportage 4dr Wgn Lx,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                             
Placeholder45,9000000044,XXXXXXXXXXXXXXXXX,39,NJ,2020,HYUNDAI,ELANTRA,2020 Hyundai Elantra 4dr Sdn Sel,27-Feb-20,27-FEB-23                                                                                                                                                                                                                                                                                                   
Placeholder46,9000000045,XXXXXXXXXXXXXXXXX,39,NJ,2020,HYUNDAI,PALISADE,2020 Hyundai Palisade 4dr Wgn Limited,22-Feb-20,22-FEB-23                                                                                                                                                                                                                                                                                            
Placeholder47,9000000046,XXXXXXXXXXXXXXXXX,39,NY,2020,HYUNDAI,SONATA,2020 Hyundai Sonata 4dr Sdn Se,28-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                                     
Placeholder48,9000000047,XXXXXXXXXXXXXXXXX,39,NY,2020,HYUNDAI,ELANTRA,2020 Hyundai Elantra 4dr Sdn Value,28-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                                 
Placeholder49,9000000048,XXXXXXXXXXXXXXXXX,39,FL,2020,HYUNDAI,TUCSON,2020 Hyundai Tucson 4dr Wgn Se,28-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                                    
Placeholder50,9000000049,XXXXXXXXXXXXXXXXX,39,FL,2020,KIA,SPORTAGE,2020 Kia Sportage 4dr Wgn Lx,22-Feb-20,22-JUL-23                                                                                                                                                                                                                                                                                                           
Placeholder51,9000000050,XXXXXXXXXXXXXXXXX,39,VA,2019,HYUNDAI,IONIQ PHEV,2019 Hyundai Ioniq_Phev 5dr Hb Plug-In,27-Feb-20,27-FEB-23                                                                                                                                                                                                                                                                                         
Placeholder52,9000000051,XXXXXXXXXXXXXXXXX,39,NJ,2020,HYUNDAI,SONATA,2020 Hyundai Sonata 4dr Sdn Sel,28-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                                   
Placeholder53,9000000052,XXXXXXXXXXXXXXXXX,39,PA,2020,HYUNDAI,TUCSON,2020 Hyundai Tucson 4dr Wgn Se,28-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                                   
Placeholder54,9000000053,XXXXXXXXXXXXXXXXX,39,PA,2020,HYUNDAI,SANTA FE,2020 Hyundai Santa_Fe 4dr Wgn Sel,28-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                          
Placeholder55,9000000054,XXXXXXXXXXXXXXXXX,39,FL,2019,GENESIS,G70,2019 Genesis G70 4dr Sdn 2.0t,18-Feb-20,18-MAR-23                                                                                                                                                                                                                                                                                                          
Placeholder56,9000000055,XXXXXXXXXXXXXXXXX,39,NE,2020,HYUNDAI,ELANTRA,2020 Hyundai Elantra 4dr Sdn Se,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                  
Placeholder57,9000000056,XXXXXXXXXXXXXXXXX,39,NY,2020,KIA,FORTE,2020 Kia Forte 4dr Sdn Lxs At,27-Feb-20,27-MAY-23                                                                                                                                                                                                                                                                                                       
Placeholder58,9000000057,XXXXXXXXXXXXXXXXX,39,PA,2020,HYUNDAI,KONA,2020 Hyundai Kona 4dr Wgn Sel,1-Mar-20,01-MAR-23                                                                                                                                                                                                                                                                                                    
Placeholder59,9000000058,XXXXXXXXXXXXXXXXX,39,TX,2020,HYUNDAI,ELANTRA,2020 Hyundai Elantra 4dr Sdn Se,27-Feb-20,27-FEB-23                                                                                                                                                                                                                                                                                                      
Placeholder60,9000000059,XXXXXXXXXXXXXXXXX,39,PA,2020,KIA,OPTIMA,2020 Kia Optima 4dr Sdn Lx,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                             
Placeholder61,9000000060,XXXXXXXXXXXXXXXXX,39,FL,2019,HYUNDAI,SONATA,2019 HYUNDAI SONATA SEL,6-Feb-19,06-FEB-22                                                                                                                                                                                                                                                                                                            
Placeholder62,9000000061,XXXXXXXXXXXXXXXXX,39,NH,2020,KIA,SPORTAGE,2020 KIA SPORTAGE EX AWD AT,20-Aug-19,20-AUG-22                                                                                                                                                                                                                                                                                                           
Placeholder63,9000000062,XXXXXXXXXXXXXXXXX,39,FL,2018,HYUNDAI,SANTA FE SPORT,2018 HYUNDAI SANTA FE SPORT 2.4 FWD,28-May-18,28-MAY-21                                                                                                                                                                                                                                                                                          
Placeholder64,9000000063,XXXXXXXXXXXXXXXXX,39,SC,2018,HYUNDAI,SONATA,2018 HYUNDAI SONATA SEL,26-May-18,26-MAY-21                                                                                                                                                                                                                                                                                                          
Placeholder65,9000000064,XXXXXXXXXXXXXXXXX,39,NV,2019,HYUNDAI,VELOSTER,2019 HYUNDAI VELOSTER 2.0 PREMIUM,20-Mar-19,20-MAR-22                                                                                                                                                                                                                                                                                     
Placeholder66,9000000065,XXXXXXXXXXXXXXXXX,39,WY,2019,HYUNDAI,SONATA,2019 HYUNDAI SONATA SE,26-Jun-19,26-JUN-22                                                                                                                                                                                                                                                                                                             
Placeholder67,9000000066,XXXXXXXXXXXXXXXXX,39,NY,2018,KIA,SPORTAGE,2018 KIA SPORTAGE EX AWD AT,20-Feb-18,20-AUG-21                                                                                                                                                                                                                                                                                                          
Placeholder68,9000000067,XXXXXXXXXXXXXXXXX,39,IL,2019,HYUNDAI,SONATA,2019 HYUNDAI SONATA LIMITED,4-Jul-19,04-JUL-22                                                                                                                                                                                                                                                                                                           
Placeholder69,9000000068,XXXXXXXXXXXXXXXXX,39,CA,2018,HYUNDAI,SONATA,2018 HYUNDAI SONATA ECO,10-Sep-18,10-SEP-21                                                                                                                                                                                                                                                                                                        
Placeholder70,9000000069,XXXXXXXXXXXXXXXXX,39,NY,2017,KIA,OPTIMA,2017 KIA OPTIMA LX 4CYL AT,31-Jul-17,01-AUG-21                                                                                                                                                                                                                                                                                                              
Placeholder71,9000000070,XXXXXXXXXXXXXXXXX,39,PA,2019,HYUNDAI,ELANTRA,2019 HYUNDAI ELANTRA SE,29-Jul-19,01-AUG-22                                                                                                                                                                                                                                                                                                              
Placeholder72,9000000071,XXXXXXXXXXXXXXXXX,39,NJ,2020,HYUNDAI,TUCSON,2020 HYUNDAI TUCSON ULTIMATE AWD,21-Feb-20,21-FEB-23                                                                                                                                                                                                                                                                                                    
Placeholder73,9000000072,XXXXXXXXXXXXXXXXX,39,WA,2019,HYUNDAI,KONA,2019 HYUNDAI KONA LIMITED AWD,4-Mar-19,04-MAR-22                                                                                                                                                                                                                                                                                                     
Placeholder74,9000000073,XXXXXXXXXXXXXXXXX,39,FL,2020,HYUNDAI,TUCSON,2020 HYUNDAI TUCSON SE FWD SULEV,20-Nov-19,20-DEC-22                                                                                                                                                                                                                                                                                          
Placeholder75,9000000074,XXXXXXXXXXXXXXXXX,39,FL,2019,HYUNDAI,SONATA,2019 HYUNDAI SONATA SE,9-Jun-19,09-JUN-22                                                                                                                                                                                                                                                                                                            
Placeholder76,9000000075,XXXXXXXXXXXXXXXXX,39,TX,2019,KIA,STINGER,2019 KIA STINGER GT1 RWD V6,26-Jun-19,26-JUN-22                                                                                                                                                                                                                                                                                                              
Placeholder77,9000000076,XXXXXXXXXXXXXXXXX,39,CA,2020,KIA,SOUL,2020 KIA SOUL LX AT,30-Mar-19,01-APR-22                                                                                                                                                                                                                                                                                                                        
Placeholder78,9000000077,XXXXXXXXXXXXXXXXX,39,NY,2019,HYUNDAI,TUCSON,2019 HYUNDAI TUCSON SE AWD,30-Jun-19,01-JUL-22                                                                                                                                                                                                                                                                                                         
Placeholder79,9000000078,XXXXXXXXXXXXXXXXX,39,NY,2019,HYUNDAI,KONA,2019 HYUNDAI KONA  ULTIMATE AWD,16-Feb-19,16-FEB-22                                                                                                                                                                                                                                                                                                      
Placeholder80,9000000079,XXXXXXXXXXXXXXXXX,39,IA,2018,HYUNDAI,ELANTRA,2018 HYUNDAI ELANTRA SEL,18-Sep-18,18-SEP-21                                                                                                                                                                                                                                                                                                           
Placeholder81,9000000080,XXXXXXXXXXXXXXXXX,39,IL,2020,KIA,SOUL,2020 KIA SOUL LX AT,8-Aug-19,08-AUG-22                                                                                                                                                                                                                                                                                                                   
Placeholder82,9000000081,XXXXXXXXXXXXXXXXX,39,OR,2019,HYUNDAI,SONATA,2019 HYUNDAI SONATA LIMITED,13-Apr-19,13-APR-22                                                                                                                                                                                                                                                                                                         
Placeholder83,9000000082,XXXXXXXXXXXXXXXXX,39,CA,2018,HYUNDAI,ELANTRA,2018 HYUNDAI ELANTRA VALUE EDITION,15-Sep-18,15-SEP-21                                                                                                                                                                                                                                                                                                
Placeholder84,9000000083,XXXXXXXXXXXXXXXXX,39,NJ,2018,HYUNDAI,TUCSON,2018 HYUNDAI TUCSON SPORT AWD,21-Aug-18,21-AUG-21                                                                                                                                                                                                                                                                                                
Placeholder85,9000000084,XXXXXXXXXXXXXXXXX,39,CA,2019,HYUNDAI,ELANTRA,2019 HYUNDAI ELANTRA SPORT,4-Mar-19,04-MAR-22                                                                                                                                                                                                                                                                                                       
Placeholder86,9000000085,XXXXXXXXXXXXXXXXX,39,NC,2020,KIA,SOUL,2020 KIA SOUL EX AT,23-May-19,23-JUN-22                                                                                                                                                                                                                                                                                                                       
Placeholder87,9000000086,XXXXXXXXXXXXXXXXX,39,NY,2019,KIA,OPTIMA,2019 KIA OPTIMA LX 4CYL AT,26-Apr-19,26-APR-22                                                                                                                                                                                                                                                                                                               
Placeholder88,9000000087,XXXXXXXXXXXXXXXXX,39,NY,2019,KIA,OPTIMA,2019 KIA OPTIMA EX 1.6T AT,27-Mar-19,27-MAR-22                                                                                                                                                                                                                                                                                                            
Placeholder89,9000000088,XXXXXXXXXXXXXXXXX,39,FL,2020,HYUNDAI,TUCSON,2020 HYUNDAI TUCSON VALUE FWD SULEV,18-Feb-20,18-MAR-23                                                                                                                                                                                                                                                                                            
Placeholder90,9000000089,XXXXXXXXXXXXXXXXX,39,FL,2019,HYUNDAI,SONATA,2019 HYUNDAI SONATA SEL,22-May-19,22-MAY-22                                                                                                                                                                                                                                                                                                           
Placeholder91,9000000090,XXXXXXXXXXXXXXXXX,39,NY,2020,KIA,SPORTAGE,2020 KIA SPORTAGE S AWD AT,22-Feb-20,22-MAY-23                                                                                                                                                                                                                                                                                                            
Placeholder92,9000000091,XXXXXXXXXXXXXXXXX,39,NY,2019,KIA,SPORTAGE,2019 KIA SPORTAGE SX AWD AT,19-Feb-19,19-FEB-22                                                                                                                                                                                                                                                                                                          
Placeholder93,9000000092,XXXXXXXXXXXXXXXXX,39,GA,2019,HYUNDAI,IONIQ HYBRID,2019 HYUNDAI IONIQ HYBRID LIMITED,21-Dec-19,21-DEC-22                                                                                                                                                                                                                                                                                            
Placeholder94,9000000093,XXXXXXXXXXXXXXXXX,39,MA,2019,HYUNDAI,SONATA,2019 HYUNDAI SONATA LIMITED,27-Oct-18,27-OCT-21                                                                                                                                                                                                                                                                                                        
Placeholder95,9000000094,XXXXXXXXXXXXXXXXX,39,FL,2019,HYUNDAI,KONA,2019 HYUNDAI KONA SEL FWD,23-Jun-19,23-JUN-22                                                                                                                                                                                                                                                                                                   
Placeholder96,9000000095,XXXXXXXXXXXXXXXXX,39,CA,2018,GENESIS,G80,2018 GENESIS G80 RWD 3.8,2-Dec-17,02-JUN-21                                                                                                                                                                                                                                                                                                              
Placeholder97,9000000096,XXXXXXXXXXXXXXXXX,39,TX,2019,HYUNDAI,TUCSON,2019 HYUNDAI TUCSON SE FWD,11-Oct-19,11-JAN-23                                                                                                                                                                                                                                                                                                            
Placeholder98,9000000097,XXXXXXXXXXXXXXXXX,39,MA,2020,KIA,OPTIMA,2020 KIA OPTIMA EX PREM,29-Jan-20,01-MAY-23                                                                                                                                                                                                                                                                                                            
Placeholder99,9000000098,XXXXXXXXXXXXXXXXX,39,FL,2018,GENESIS,G80,2018 GENESIS G80 AWD 3.8,23-Oct-18,23-OCT-21                                                                                                                                                                                                                                                                                                            
Placeholder100,9000000099,XXXXXXXXXXXXXXXXX,39,NJ,2021,KIA,OPTIMA,2021 Kia Optima 4dr Sdn Se,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                           
Placeholder101,9000000100,XXXXXXXXXXXXXXXXX,39,NJ,2021,KIA,FORTE,2021 Kia Forte 4dr Sdn Lxs At,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                        
Placeholder102,9000000101,XXXXXXXXXXXXXXXXX,39,NY,2020,KIA,NIRO EV,2020 Kia Niro_Ev 4dr Wgn Ex,28-Feb-20,28-MAY-23                                                                                                                                                                                                                                                                                                        
Placeholder103,9000000102,XXXXXXXXXXXXXXXXX,39,NY,2021,KIA,SOUL,2021 Kia Soul 4dr Wgn Lx At,26-Feb-20,26-MAY-23                                                                                                                                                                                                                                                                                                         
Placeholder104,9000000103,XXXXXXXXXXXXXXXXX,39,FL,2021,HYUNDAI,SANTA FE,2021 Hyundai Santa_Fe 4dr Wgn Limited 2.0t,13-Feb-20,13-FEB-23                                                                                                                                                                                                                                                                                      
Placeholder105,9000000104,XXXXXXXXXXXXXXXXX,39,CA,2021,HYUNDAI,ELANTRA GT,2021 Hyundai Elantra_Gt 5dr Hb N Line At,29-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                         
Placeholder106,9000000105,XXXXXXXXXXXXXXXXX,39,NY,2020,HYUNDAI,SONATA,2020 Hyundai Sonata 4dr Sdn Se,1-Mar-20,01-MAR-23                                                                                                                                                                                                                                                                                                      
Placeholder107,9000000106,XXXXXXXXXXXXXXXXX,39,NY,2021,HYUNDAI,PALISADE,2021 Hyundai Palisade 4dr Wgn Limited,1-Mar-20,01-JUN-24                                                                                                                                                                                                                                                                                             
Placeholder108,9000000107,XXXXXXXXXXXXXXXXX,39,NJ,2020,HYUNDAI,IONIQ PHEV,2020 Hyundai Ioniq_Phev 5dr Hb Plug-In,29-Feb-20,28-FEB-23                                                                                                                                                                                                                                                                                         
Placeholder109,9000000108,XXXXXXXXXXXXXXXXX,39,AZ,2021,HYUNDAI,TUCSON,2021 Hyundai Tucson Se,1-Mar-20,01-MAR-23                                                                                                                                                                                                                                                                                                          
